geographic_group,country,children_per_woman_total_fertility,child_mortality_0_5_year_olds_dying_per_1000_born,co2_emissions_tonnes_per_person,corruption_perception_index_cpi,life_expectancy_years,vccin_effect_dag
,Niger,7.29,94.3,0.10099999999999999,34.0,61.3,
Europe,Italy,1.46,3.43,5.88,44.0,82.6,0.177
,Haiti,2.97,70.6,0.272,17.0,64.0,
,Cyprus,1.35,2.74,5.99,61.0,81.5,
,Kyrgyz Republic,3.05,22.3,1.73,28.0,71.9,
,Gambia,5.49,64.7,0.251,28.0,65.1,
South-Eastern Asia,Indonesia,2.39,28.0,1.96,36.0,71.0,0.07
Western Pacific,China,-10.0,10.7,6.91,37.0,76.5,0.126
,Sierra Leone,4.56,122.0,0.126,29.0,58.5,
,New Zealand,2.01,5.97,7.77,91.0,81.5,
,Honduras,2.51,19.5,1.08,31.0,72.1,
Europe,Croatia,1.47,4.88,4.22,51.0,77.6,
Western Pacific,Australia,-10.0,3.87,16.8,79.0,82.5,0.043
Americas,El Salvador,2.1,15.3,1.07,39.0,72.1,
Europe,Sweden,1.91,2.87,4.41,89.0,82.2,0.059000000000000004
,Cameroon,-10.0,85.8,0.33299999999999996,27.0,61.2,
Americas,Peru,2.43,16.1,1.69,36.0,80.0,0.08
Europe,Bulgaria,1.55,8.18,6.69,41.0,74.8,0.071
Europe,Iceland,1.95,2.18,10.7,79.0,82.7,0.022000000000000002
Americas,Brazil,-10.0,15.7,2.42,38.0,75.5,0.045
Africa,Egypt,3.31,23.6,2.37,36.0,70.2,
Eastern Mediterranean,Afghanistan,-10.0,70.4,0.262,11.0,61.2,0.057999999999999996
Africa,Ghana,4.04,54.7,0.579,47.0,64.4,0.084
,Madagascar,4.24,58.1,0.149,28.0,63.0,
South-Eastern Asia,Bangladesh,2.13,36.1,0.467,25.0,72.5,0.051
South-Eastern Asia,Singapore,1.24,2.72,11.0,85.0,84.4,
Europe,Belgium,-10.0,3.99,8.84,77.0,80.9,0.051
Africa,Zimbabwe,3.84,54.3,0.8809999999999999,21.0,59.6,
Europe,United Kingdom,-10.0,4.45,6.42,81.0,81.0,0.07
Europe,Moldova,1.25,16.3,1.18,33.0,71.8,
Europe,Denmark,-10.0,4.22,6.19,91.0,80.9,0.042
Europe,Latvia,1.53,4.97,3.65,56.0,74.9,0.14300000000000002
Europe,Armenia,-10.0,14.4,1.65,35.0,75.3,0.139
Europe,Hungary,1.36,5.14,4.78,51.0,75.5,
Europe,Luxembourg,1.56,2.64,16.5,85.0,81.4,
,Kuwait,1.99,8.56,24.1,49.0,82.9,
Europe,Russia,-10.0,8.53,11.2,29.0,71.3,0.184
,Rwanda,3.97,41.3,0.0816,54.0,67.7,
,Liberia,-10.0,78.9,0.27,37.0,62.0,
Americas,Mexico,2.22,14.8,3.96,31.0,75.9,0.14
,Tanzania,5.08,59.1,0.244,30.0,65.6,
,Guinea,4.93,107.0,0.215,25.0,59.2,
,Guatemala,3.03,29.0,0.95,28.0,72.9,
Africa,Namibia,3.47,44.9,1.71,53.0,65.5,
Africa,Ethiopia,4.32,63.5,0.128,33.0,67.2,0.021
Europe,Slovak Republic,1.43,6.06,6.35,51.0,76.7,
,Burkina Faso,5.44,86.8,0.182,38.0,60.7,
Americas,Uruguay,2.01,8.85,1.94,74.0,77.0,
Americas,Chile,-10.0,7.89,4.55,70.0,79.6,
Americas,Argentina,2.31,11.5,4.64,32.0,76.5,0.013000000000000001
Europe,Turkey,2.07,12.6,4.86,42.0,78.3,0.083
,Mali,6.15,109.0,0.17800000000000002,35.0,61.1,
