children_per_woman_total_fertility,co2_emissions_tonnes_per_person,vccin_effect_dag
1.46,5.88,0.177
2.39,1.96,0.07
1.91,4.41,0.059000000000000004
2.43,1.69,0.08
1.55,6.69,0.071
1.95,10.7,0.022000000000000002
4.04,0.579,0.084
2.13,0.467,0.051
1.53,3.65,0.14300000000000002
2.22,3.96,0.14
4.32,0.128,0.021
2.31,4.64,0.013000000000000001
2.07,4.86,0.083
6.17,0.0367,0.08800000000000001
5.59,0.627,0.113
2.51,2.63,0.021
1.35,5.81,0.071
1.44,9.58,0.099
1.96,1.95,0.046
1.49,7.7,0.11800000000000001
2.58,19.6,0.024
1.31,8.22,0.10300000000000001
1.52,9.89,0.073
1.98,5.3,0.17300000000000001
2.35,1.76,0.078
1.35,5.39,0.26
1.25,5.04,0.044000000000000004
1.99,8.27,0.062
1.93,16.9,0.096
1.59,16.0,0.105
2.53,1.76,0.052000000000000005
2.22,2.62,0.043
2.96,1.12,0.022000000000000002
2.49,8.35,0.099
1.52,3.41,0.114
1.31,7.04,0.16899999999999998
1.51,3.91,0.156
1.45,9.74,0.08
1.5,4.1,0.065
1.53,4.99,0.154
2.09,3.86,0.133
